,Ticker,Company Name,Country,Sector,Subsector,Environmental SCORE,Social SCORE,Governance SCORE,Assets,"Cash and Cash Equivalents, at Carrying Value",Final Revenue,Gross Profit,Income from Continuing Operations before Taxes,Operating Income (Loss),Total Equity,Total Liabilities and Equity,Net Income (Loss),"Cash and Cash Equivalents, Period Increase (Decrease)",Target
0,FLWS,"1-800-FLOWERSCOM, INC",US,Retail - Consumer Discretionary,Internet & Direct Marketing Retail,1.2,6.7,3.8,"536,570,000","61,696,000","234,207,000","96,721,000","-14,620,000","-13,236,000","249,186,000","536,570,000",,,1
1,SRCE,1ST SOURCE CORPORATION,US,Banks,Regional Banks,0.0,2.6,4.7,"5,245,610,000","85,227,000",,,"21,236,000",,"649,973,000","5,245,610,000","13,818,000",,0
2,TWOU,"2U, INC",US,Software & Services,Education Services,4.7,4.7,6.3,"236,718,000","186,710,000","47,444,000",,,"-3,446,000","196,623,000","236,718,000","-3,380,000","2,981,000",1
3,AAON,"AAON, INC",US,Building Products,Building Products,5.0,7.0,5.6,"236,669,000","17,248,000","85,422,000","25,731,000","25,731,000","16,826,000",,"236,669,000","11,551,000","9,340,000",1
4,ABMD,"ABIOMED, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.5,7.6,4.9,"423,931,000","48,231,000","93,957,000",,,"19,813,000","368,775,000","423,931,000","10,998,000",,1
5,ACHC,"ACADIA HEALTHCARE COMPANY, INC",US,Health Care Providers & Services,Health Care Facilities,6.5,5.2,6.3,"6,696,359,000","36,582,000","627,183,000",,"32,479,000","131,012,000","2,562,870,000","6,696,359,000","25,688,000","25,367,000",1
6,ACAD,ACADIA PHARMACEUTICALS INC,US,Biotechnology,Biotechnology,3.1,4.4,5.2,"466,590,000","175,220,000","4,000",,,"-50,262,000","445,251,000","466,590,000","-49,762,000","73,082,000",0
7,AXDX,"ACCELERATE DIAGNOSTICS, INC",US,Health Care Equipment & Supplies,Health Care Equipment,6.0,6.0,6.7,"125,648,000","72,033,000","163,000","163,000","163,000","-15,172,000","119,661,000","125,648,000","-15,074,000","-48,552,000",1
8,ACIW,"ACI WORLDWIDE, INC",US,Software & Services,Application Software,4.9,5.5,6.1,"1,834,342,000","94,369,000","226,066,000",,,"136,712,000","704,172,000","1,834,342,000","89,144,000","-7,870,000",1
9,ACRS,Aclaris Therapeutics Inc,US,Pharmaceuticals,Pharmaceuticals,4.5,5.6,5.7,"87,270,000","13,131,000",,,,"-13,139,000","83,211,000","87,270,000","-13,039,000","3,280,000",1
